thisRow.t,notes,overall_trial_num,participant,session,age,gender,handedness,phase,calib_target,n_shapes,block_num,trial_in_block,prop_used,stimulus_logit,detection_accuracy,is_timeout,rt_choice,early_response,true_controlled,response_controlled,quest_alpha_sd,mean_evidence,sum_evidence,var_evidence,target_snippet_id,distractor_snippet_ids,quest_alpha_mean,quest_beta_mean,quest_beta_sd,quest_lambda_mean,quest_lambda_sd,control_condition,threshold_75,agency_rating,img_A_name,img_B_name,trigger_fix,trigger_stim_onset,trigger_motion_start,trigger_resp_onset,trigger_resp_val,trigger_agency_onset,target_is_left,participant,session,age,gender,handedness,quest_prop_low,quest_low_converged,quest_prop_high,quest_high_converged,miniblock_order,starts_with,
,,1,11,001,28,m,r,calibration,0.55,2,0,1,0.347354013008391,-0.6306903787402434,0,False,3.2341622000094503,False,dot,square,0.7868489501376656,3.4427850154071487,664.4575079735797,60.673143205333965,1395,[np.int64(1463)],0.08546844611530306,3.2884933912590077,2.0699589733917225,0.0266646667842519,0.021664116488440077,,,,,,,,,,,,,11,001,28,m,r,,,,,,,
,,2,11,001,28,m,r,calibration,0.55,2,0,2,0.5350820483873121,0.14055915473515587,1,False,1.0871661000419408,False,dot,dot,0.7680685877645114,5.127922433437613,1025.5844866875225,24.367443731640016,1483,[np.int64(951)],-0.06239143700573463,3.2968115039161887,2.0738354920765576,0.02633574150448608,0.02160265882743015,,,,,,,,,,,,,11,001,28,m,r,,,,,,,
,,3,11,001,28,m,r,calibration,0.55,2,0,3,0.5350820483873121,0.14055915473515587,0,False,1.3377972000162117,False,square,dot,0.6810044062069017,9.510421752071641,1730.8967588770388,110.52415410411817,186,[np.int64(219)],0.40513297766447653,3.213100821515287,2.035962171544374,0.02756695397055095,0.021800856182433936,,,,,,,,,,,,,11,001,28,m,r,,,,,,,
,,4,11,001,28,m,r,calibration,0.55,2,0,4,0.5981210736084265,0.3976423325602886,1,False,1.0517707000253722,False,square,square,0.6688617914162119,14.013835932000582,2550.518139624106,140.38620369818403,597,[np.int64(1360)],0.2834555666923262,3.215870898826034,2.0379449557176543,0.027244193031098284,0.021750477143070265,,,,,,,,,,,,,11,001,28,m,r,,,,,,,
,,5,11,001,28,m,r,calibration,0.55,2,0,5,0.5981210736084265,0.3976423325602886,1,False,1.0042036999948323,False,dot,dot,0.6486758497023578,4.0878273671508945,748.0724081886137,69.14565132502022,1273,[np.int64(1096)],0.1706910512328366,3.2343275449605975,2.0468724721891087,0.026900142112505993,0.021692838960730782,,,,,,,,,,,,,11,001,28,m,r,,,,,,,
,,6,11,001,28,m,r,calibration,0.55,2,0,6,0.5981210736084265,0.3976423325602886,1,False,1.0110324999550357,False,dot,dot,0.6238334661819803,15.290025477035215,2798.0746622974443,187.88080480251466,356,[np.int64(75)],0.06956990882209262,3.2665770822433444,2.0616335354820263,0.02653815843203318,0.021627803422172284,,,,,,,,,,,,,11,001,28,m,r,,,,,,,
,,7,11,001,28,m,r,calibration,0.55,2,0,7,0.5981210736084265,0.3976423325602886,1,False,0.975305899977684,False,dot,dot,0.5976714546799404,12.641827096896568,2743.2764800265554,160.69472127320083,1292,[np.int64(1550)],-0.018878412636757675,3.310496623549245,2.0809088329932233,0.026161664037683177,0.021555368484319604,,,,,,,,,,,,,11,001,28,m,r,,,,,,,
,,8,11,001,28,m,r,calibration,0.55,2,0,8,0.5350820483873121,0.14055915473515587,1,False,0.8780629999819212,False,square,square,0.5810322354504591,6.934307555769155,1234.3067449269095,140.74685992758464,902,[np.int64(562)],-0.10992333299556513,3.336158819775307,2.092401445536867,0.025814942277179162,0.021484422696124394,,,,,,,,,,,,,11,001,28,m,r,,,,,,,
,,9,11,001,28,m,r,calibration,0.55,2,0,9,0.47090191089840744,-0.11652402308997703,0,False,2.445090099994559,False,dot,square,0.5135042524213753,-0.03875807816934941,-7.092728304990942,275.78313866300124,276,[np.int64(1011)],0.1500185828668291,3.344064858927237,2.0971663903648725,0.02667720689833078,0.02164599705292165,,,,,,,,,,,,,11,001,28,m,r,,,,,,,
,,10,11,001,28,m,r,calibration,0.55,2,0,10,0.6580745541515514,0.654725510385422,1,False,0.9032413000240922,False,square,square,0.48360074140093573,15.771669190951329,2965.0738078988497,187.42455548994405,1178,[np.int64(518)],0.0935432770344554,3.4106787036118806,2.123367276700231,0.026269011183641888,0.021569080872458783,,,,,,,,,,,,,11,001,28,m,r,,,,,,,
