thisRow.t,notes,overall_trial_num,participant,session,age,gender,handedness,phase,calib_target,n_shapes,block_num,trial_in_block,prop_used,stimulus_logit,detection_accuracy,is_timeout,rt_choice,early_response,true_controlled,response_controlled,quest_alpha_sd,mean_evidence,sum_evidence,var_evidence,target_snippet_id,distractor_snippet_ids,quest_alpha_mean,quest_beta_mean,quest_beta_sd,quest_lambda_mean,quest_lambda_sd,control_condition,threshold_75,agency_rating,img_A_name,img_B_name,trigger_fix,trigger_stim_onset,trigger_motion_start,trigger_resp_onset,trigger_resp_val,trigger_agency_onset,target_is_left,participant,session,age,gender,handedness,quest_prop_high,quest_high_converged,quest_prop_low,quest_low_converged,miniblock_order,starts_with,
,,1,12,001,28,f,r,calibration,0.75,2,-1,1,0.5981210736084265,0.3976423325602886,1,False,1.1248168000020087,False,square,square,0.8833941500202273,17.806591706010845,3151.7667319639195,161.7605529502254,974,[np.int64(898)],0.49887896444510554,3.2323377588830704,2.050691472501904,0.0257364756811414,0.02148582368615677,,,,,,,,,,,,,12,001,28,f,r,,,,,,,
,,2,12,001,28,f,r,calibration,0.75,2,-1,2,0.5350820483873121,0.14055915473515587,1,False,0.5390882999636233,False,square,square,0.8974722567509856,10.061462539831876,1891.5549574883926,184.95415748226463,1418,[np.int64(412)],0.3118133766571681,3.2082444668428995,2.0424419558677074,0.025480950703595955,0.02143037331807896,,,,,,,,,,,,,12,001,28,f,r,,,,,,,
,,3,12,001,28,f,r,calibration,0.75,2,-1,3,0.5350820483873121,0.14055915473515587,1,False,0.7724810999352485,False,dot,dot,0.8872830967337415,16.652038863562076,3030.671073168298,239.28243524535318,1571,[np.int64(729)],0.12417907816641394,3.202036049568465,2.0413069970393267,0.025192955999298612,0.021365090692057793,,,,,,,,,,,,,12,001,28,f,r,,,,,,,
,,4,12,001,28,f,r,calibration,0.75,2,-1,4,0.5350820483873121,0.14055915473515587,1,False,0.6547119000460953,False,dot,dot,0.8556339725168699,11.036732415138422,2196.309750612546,157.27468665002914,1438,[np.int64(1116)],-0.05217551202368467,3.212904805647718,2.0470640208696436,0.02487584370063665,0.021289789542834836,,,,,,,,,,,,,12,001,28,f,r,,,,,,,
,,5,12,001,28,f,r,calibration,0.75,2,-1,5,0.5981210736084265,0.3976423325602886,1,False,0.6935283000348136,False,square,square,0.8003514367271172,13.739677437138818,2500.621293559265,145.99370844011023,783,[np.int64(1522)],-0.19317776838267303,3.249692783827168,2.061588839060837,0.024504387610261986,0.02119693986790726,,,,,,,,,,,,,12,001,28,f,r,,,,,,,
,,6,12,001,28,f,r,calibration,0.75,2,-1,6,0.5981210736084265,0.3976423325602886,1,False,0.7097710000816733,False,dot,dot,0.7455100577193209,10.501489390449597,2373.336602241609,165.79487741673626,126,[np.int64(536)],-0.30702045345973,3.2958042780411603,2.0790037865465876,0.02411873104376625,0.021095329369743843,,,,,,,,,,,,,12,001,28,f,r,,,,,,,
,,7,12,001,28,f,r,calibration,0.75,2,-1,7,0.5350820483873121,0.14055915473515587,1,False,0.7571947000687942,False,square,square,0.7005904430629705,10.515274148147238,1924.2951691109445,130.89899564191163,1280,[np.int64(580)],-0.4153292982264823,3.3417221114163373,2.09729942929005,0.023748981829506743,0.020992970817421727,,,,,,,,,,,,,12,001,28,f,r,,,,,,,
,,8,12,001,28,f,r,calibration,0.75,2,-1,8,0.40766968306220214,-0.37360720091511007,1,False,1.0311059999512509,False,square,square,0.6796966365425421,6.0081450658177,1099.490547044639,214.7999174255046,320,[np.int64(1147)],-0.536614435658069,3.347166072313858,2.098780271092517,0.023441796132000516,0.020904344156043253,,,,,,,,,,,,,12,001,28,f,r,,,,,,,
,,9,12,001,28,f,r,calibration,0.75,2,-1,9,0.347354013008391,-0.6306903787402434,1,False,0.7272522000130266,False,dot,dot,0.6687357149422902,0.8088891544546775,145.60004780184195,365.1460898879651,1398,[np.int64(1149)],-0.6576130589227142,3.333519110544848,2.0924404681215183,0.023162240896485956,0.02082078308103772,,,,,,,,,,,,,12,001,28,f,r,,,,,,,
,,10,12,001,28,f,r,calibration,0.75,2,-1,10,0.347354013008391,-0.6306903787402434,1,False,0.5453984000487253,False,dot,dot,0.6507443215141001,6.223596804562165,1138.9182152348762,378.4758820293441,1284,[np.int64(236)],-0.7731213826811978,3.3372524500173215,2.093608125161419,0.02286300460961981,0.02072813704460038,,,,,,,,,,,,,12,001,28,f,r,,,,,,,
