thisRow.t,notes,overall_trial_num,participant,session,age,gender,handedness,phase,calib_target,n_shapes,block_num,trial_in_block,prop_used,stimulus_logit,detection_accuracy,is_timeout,rt_choice,early_response,true_controlled,response_controlled,quest_alpha_sd,mean_evidence,sum_evidence,var_evidence,target_snippet_id,distractor_snippet_ids,quest_alpha_mean,quest_beta_mean,quest_beta_sd,quest_lambda_mean,quest_lambda_sd,control_condition,threshold_75,agency_rating,img_A_name,img_B_name,trigger_fix,trigger_stim_onset,trigger_motion_start,trigger_resp_onset,trigger_resp_val,target_is_left,participant,session,age,gender,handedness,quest_prop_high,quest_high_converged,quest_prop_low,quest_low_converged,miniblock_order,starts_with,
,,1,2,001,25,f,r,calibration,0.75,2,-1,1,0.5981210736084265,0.3976423325602886,0,False,2.504878899999312,False,dot,square,0.654092755602765,4.733211730540655,875.6441701500212,26.71668788786964,702,[np.int64(990)],1.0815502173013654,3.313240779626975,2.078503103658157,0.026570902445533742,0.02164797948506074,,,,,,,,,,,,2,001,25,f,r,,,,,,,
,,2,2,001,25,f,r,calibration,0.75,2,-1,2,0.7133701336716126,0.9118086882105548,0,False,2.403732699996908,False,square,dot,0.5132259575127074,3.986425699945678,837.1493969885923,40.4711567162819,258,[np.int64(540)],1.3675325086243681,3.3720847462417263,2.0997863712573657,0.02721705483342223,0.021755782023313505,,,,,,,,,,,,2,001,25,f,r,,,,,,,
,,3,2,001,25,f,r,calibration,0.75,2,-1,3,0.7629446568996856,1.1688918660356877,0,False,1.5131747999985237,False,dot,square,0.4155066879005053,6.0982395844862305,1359.9074273404294,56.768286508477374,1012,[np.int64(527)],1.5614379798466993,3.4587610015064856,2.1332213424994046,0.02781160507179057,0.02184276559737571,,,,,,,,,,,,2,001,25,f,r,,,,,,,
,,4,2,001,25,f,r,calibration,0.75,2,-1,4,0.806273406195118,1.4259750438608214,1,False,1.0948387000098592,False,square,square,0.42753671820957734,7.202591406555661,1433.3156899045766,105.2803691397814,1,[np.int64(1556)],1.4959977393536543,3.4206406550430573,2.1161037599200956,0.02752637391322301,0.02180086419960737,,,,,,,,,,,,2,001,25,f,r,,,,,,,
,,5,2,001,25,f,r,calibration,0.75,2,-1,5,0.806273406195118,1.4259750438608214,1,False,1.7211073999933433,False,square,square,0.43466086816767274,13.013894664809559,2563.737248967483,194.78812802297,1148,[np.int64(3)],1.4291587340074043,3.4000211786057806,2.106875538583014,0.027223976635788585,0.021753406173236556,,,,,,,,,,,,2,001,25,f,r,,,,,,,
,,6,2,001,25,f,r,calibration,0.75,2,-1,6,0.806273406195118,1.4259750438608214,1,False,1.4095618999999715,False,square,square,0.4369369136322544,11.88637520249414,2210.86578766391,127.60785860271908,1573,[np.int64(818)],1.362667013861248,3.396157201250302,2.1054483316994554,0.026905528520170342,0.02170004470804668,,,,,,,,,,,,2,001,25,f,r,,,,,,,
,,7,2,001,25,f,r,calibration,0.75,2,-1,7,0.806273406195118,1.4259750438608214,1,False,0.9584685000008903,False,square,square,0.4349041476540541,18.838108848098802,3880.6504227083533,221.66644374132676,1085,[np.int64(1360)],1.2981422811816714,3.4079750857584683,2.1113232881979616,0.02657245672346939,0.021640507803477836,,,,,,,,,,,,2,001,25,f,r,,,,,,,
,,8,2,001,25,f,r,calibration,0.75,2,-1,8,0.806273406195118,1.4259750438608214,1,False,1.1062325999955647,False,dot,dot,0.42946158570927156,15.180666008995573,3005.7718697811233,237.3318549347225,894,[np.int64(1272)],1.236903680343258,3.4341671339972546,2.123688012789355,0.02622640525705912,0.02157460345939878,,,,,,,,,,,,2,001,25,f,r,,,,,,,
,,9,2,001,25,f,r,calibration,0.75,2,-1,9,0.806273406195118,1.4259750438608214,1,False,0.9408808000007411,False,square,square,0.4216918696782884,11.485301514652443,2205.177890813269,138.29092933202443,305,[np.int64(1466)],1.1798698401624284,3.4732791849174114,2.141524308981679,0.025869132387319572,0.021502217969537465,,,,,,,,,,,,2,001,25,f,r,,,,,,,
,,10,2,001,25,f,r,calibration,0.75,2,-1,10,0.7629446568996856,1.1688918660356877,1,False,0.84298439999111,False,dot,dot,0.42042767982128193,17.317971303007443,3169.1887484503623,171.13030610041437,1275,[np.int64(513)],1.1180440046952362,3.470426411247334,2.1404684030522048,0.02555866653600684,0.021435838932158485,,,,,,,,,,,,2,001,25,f,r,,,,,,,
,,11,2,001,25,f,r,calibration,0.75,2,-1,11,0.7629446568996856,1.1688918660356877,1,False,0.8437202000059187,False,square,square,0.41710247028678415,17.352228522250027,3782.7858178505057,239.71890281837895,1259,[np.int64(1198)],nan,nan,nan,nan,nan,,,,,,,,,,,,2,001,25,f,r,,,,,,,
