thisRow.t,notes,overall_trial_num,participant,session,age,gender,handedness,phase,calib_target,n_shapes,block_num,trial_in_block,prop_used,stimulus_logit,detection_accuracy,is_timeout,rt_choice,early_response,true_controlled,response_controlled,quest_alpha_sd,mean_evidence,sum_evidence,var_evidence,target_snippet_id,distractor_snippet_ids,quest_alpha_mean,quest_beta_mean,quest_beta_sd,quest_lambda_mean,quest_lambda_sd,control_condition,threshold_75,agency_rating,img_A_name,img_B_name,trigger_fix,trigger_stim_onset,trigger_motion_start,trigger_resp_onset,trigger_resp_val,target_is_left,participant,session,age,gender,handedness,quest_prop_low,quest_low_converged,quest_prop_high,quest_high_converged,miniblock_order,starts_with,
,,1,3,001,21,f,r,calibration,0.55,2,0,1,0.347354013008391,-0.6306903787402434,0,False,3.052591499988921,False,dot,square,0.7868489501376656,-0.20909917338508396,-47.674611531799144,249.24595750448194,988,[np.int64(968)],0.08546844611530306,3.2884933912590077,2.0699589733917225,0.0266646667842519,0.021664116488440077,,,,,,,,,,,,3,001,21,f,r,,,,,,,
,,2,3,001,21,f,r,calibration,0.55,2,0,2,0.5350820483873121,0.14055915473515587,0,False,1.0407730999868363,False,square,dot,0.6692602983639965,9.652674563147325,1785.7447941822552,112.25355080850808,1484,[np.int64(924)],0.524820450452436,3.2637768867652444,2.0581988369923665,0.027642037913681694,0.021816470896102922,,,,,,,,,,,,3,001,21,f,r,,,,,,,
,,3,3,001,21,f,r,calibration,0.55,2,0,3,0.6580745541515514,0.654725510385422,1,False,1.220954399992479,False,dot,dot,0.6534884499054904,3.1566375285022614,580.8213052444161,13.042917896083384,429,[np.int64(629)],0.41030951672919036,3.28025404256981,2.0655481629479597,0.027294976404465387,0.021762991574740532,,,,,,,,,,,,3,001,21,f,r,,,,,,,
,,4,3,001,21,f,r,calibration,0.55,2,0,4,0.5981210736084265,0.3976423325602886,0,False,1.0960911000147462,False,square,dot,0.5718752717257246,2.6064163832250613,482.1870308966363,12.363583188802354,1536,[np.int64(758)],0.7283309666767135,3.2764682883825245,2.0622135780458204,0.028182689858575853,0.021884499209632556,,,,,,,,,,,,3,001,21,f,r,,,,,,,
,,5,3,001,21,f,r,calibration,0.55,2,0,5,0.7133701336716126,0.9118086882105548,1,False,1.3378468999871984,False,square,square,0.5533876546404979,2.097387305824391,648.0926774997369,16.312745102825453,201,[np.int64(979)],0.6396221440989391,3.305987742744891,2.0757793785991807,0.027819978763090752,0.02183506971813263,,,,,,,,,,,,3,001,21,f,r,,,,,,,
,,6,3,001,21,f,r,calibration,0.55,2,0,6,0.7133701336716126,0.9118086882105548,1,False,1.114996100019198,False,dot,dot,0.532064401784156,3.1370294874050995,1091.6862616169747,23.735546463870556,1235,[np.int64(886)],0.5606238132434229,3.3482077677230975,2.0944364192325686,0.027442298200761866,0.02177885380272147,,,,,,,,,,,,3,001,21,f,r,,,,,,,
,,7,3,001,21,f,r,calibration,0.55,2,0,7,0.7133701336716126,0.9118086882105548,1,False,1.2133473999856506,False,square,square,0.5103205757857123,1.822884312392256,523.1677976565775,14.057091327037904,303,[np.int64(642)],0.4915944177536767,3.4010719716976334,2.116845487764158,0.02705250593829414,0.021715744911731703,,,,,,,,,,,,3,001,21,f,r,,,,,,,
,,8,3,001,21,f,r,calibration,0.55,2,0,8,0.6580745541515514,0.654725510385422,1,False,1.709137899975758,False,dot,dot,0.496020069539385,2.014746648486813,523.8341286065713,9.43700742139543,997,[np.int64(1566)],0.4182674542476478,3.4332764518701397,2.1314835398769416,0.026696749770840748,0.02165372314899962,,,,,,,,,,,,3,001,21,f,r,,,,,,,
,,9,3,001,21,f,r,calibration,0.55,2,0,9,0.6580745541515514,0.654725510385422,1,False,0.9607082000002265,False,dot,dot,0.4813307057195887,1.2761639700683804,368.81138734976196,7.196758269303662,168,[np.int64(1515)],0.3519865527927729,3.477500957310105,2.1508006749761654,0.02632878259593576,0.021584997976654655,,,,,,,,,,,,3,001,21,f,r,,,,,,,
,,10,3,001,21,f,r,calibration,0.55,2,0,10,0.5981210736084265,0.3976423325602886,1,False,1.1159270000061952,False,dot,dot,0.4762867289780926,0.49775517350416876,157.7883900008215,1.2112670503286542,1159,[np.int64(864)],0.2804919011544551,3.4849912819447293,2.153622557609736,0.026002978962182826,0.021520367341806224,,,,,,,,,,,,3,001,21,f,r,,,,,,,
