participant,session,age,gender,handedness,phase,overall_trial_num,trial_in_block,mem_filename,mem_ground_truth,controlled,trial_level,item_type,mem_response,mem_rt,mem_trigger_fix,mem_trigger_onset,mem_trigger_resp
7,001,25,f,r,memory_test,268,1,bedpan_08s,seen,yes,high,controlled,yes,1.3198746999987634,82,52,61
7,001,25,f,r,memory_test,269,2,cornhusk_03s,unseen,,,,no,1.0183189999952447,85,55,61
7,001,25,f,r,memory_test,270,3,toothbrush_12s,unseen,,,,yes,0.9744627999898512,85,55,62
7,001,25,f,r,memory_test,271,4,braid_09s,unseen,,,,no,1.3104082999925595,85,55,61
7,001,25,f,r,memory_test,272,5,banana_06s,seen,yes,high,controlled,no,0.845713100003195,82,52,62
7,001,25,f,r,memory_test,273,6,trombone_14s,seen,no,high,uncontrolled,no,0.6810270000132732,84,54,62
7,001,25,f,r,memory_test,274,7,diskette_03s,unseen,,,,no,0.7247338000015588,85,55,61
7,001,25,f,r,memory_test,275,8,shoelace_06s,seen,no,high,uncontrolled,no,0.7516117000050144,84,54,62
7,001,25,f,r,memory_test,276,9,boot_09s,seen,no,low,uncontrolled,no,0.6882744999893475,83,53,62
7,001,25,f,r,memory_test,277,10,gas_mask_01b,seen,no,low,uncontrolled,no,0.8765827000024728,83,53,62
7,001,25,f,r,memory_test,278,11,leggings_12s,unseen,,,,no,0.6620972999953665,85,55,61
7,001,25,f,r,memory_test,279,12,sweeper_02s,seen,yes,low,controlled,no,0.6887178999895696,81,51,62
7,001,25,f,r,memory_test,280,13,light_switch_17s,seen,no,low,uncontrolled,no,0.847145100007765,83,53,62
7,001,25,f,r,memory_test,281,14,leotard_13s,seen,no,low,uncontrolled,no,0.6077483000117354,83,53,62
7,001,25,f,r,memory_test,282,15,lipstick_12s,seen,yes,low,controlled,yes,0.9500604000058956,81,51,61
7,001,25,f,r,memory_test,283,16,checkers_06s,unseen,,,,no,0.6648893999954453,85,55,61
7,001,25,f,r,memory_test,284,17,suspenders_09s,unseen,,,,no,0.549537800005055,85,55,61
7,001,25,f,r,memory_test,285,18,hairdryer_06s,unseen,,,,no,0.7105207000131486,85,55,61
7,001,25,f,r,memory_test,286,19,shaving_cream_05s,unseen,,,,no,0.57307289999153,85,55,61
7,001,25,f,r,memory_test,287,20,wetsuit_09s,seen,yes,low,controlled,no,0.44413810000696685,81,51,62
7,001,25,f,r,memory_test,288,21,coffee_bean_12s,seen,no,low,uncontrolled,yes,0.6817169999994803,83,53,61
7,001,25,f,r,memory_test,289,22,pinball_09s,seen,no,low,uncontrolled,yes,1.0642538999964017,83,53,61
7,001,25,f,r,memory_test,290,23,visor_13s,unseen,,,,no,0.7418371999956435,85,55,61
7,001,25,f,r,memory_test,291,24,dice_14s,seen,yes,high,controlled,no,0.8900238000060199,82,52,62
7,001,25,f,r,memory_test,292,25,tiara_08s,seen,yes,low,controlled,yes,0.8286057000077562,81,51,61
7,001,25,f,r,memory_test,293,26,water_heater_01b,unseen,,,,no,0.6368056999926921,85,55,61
7,001,25,f,r,memory_test,294,27,soy_sauce_10s,unseen,,,,no,0.9098423999967054,85,55,61
7,001,25,f,r,memory_test,295,28,dip_04s,seen,no,high,uncontrolled,yes,0.7564847000030568,84,54,61
7,001,25,f,r,memory_test,296,29,wig_01s,unseen,,,,no,0.7709960999927716,85,55,61
7,001,25,f,r,memory_test,297,30,match_07s,unseen,,,,no,0.5002371000009589,85,55,61
7,001,25,f,r,memory_test,298,31,taco_01b,unseen,,,,yes,0.7112093999894569,85,55,62
7,001,25,f,r,memory_test,299,32,handbrake_03s,seen,yes,low,controlled,no,0.6122319999994943,81,51,62
7,001,25,f,r,memory_test,300,33,sausage_08s,seen,no,low,uncontrolled,yes,1.1219372000050498,83,53,61
7,001,25,f,r,memory_test,301,34,waffle_iron_14s,unseen,,,,no,0.9826893999997992,85,55,61
7,001,25,f,r,memory_test,302,35,gavel_02s,unseen,,,,no,0.6802276000089478,85,55,61
7,001,25,f,r,memory_test,303,36,sushi_08s,seen,no,low,uncontrolled,yes,0.8030161999922711,83,53,61
7,001,25,f,r,memory_test,304,37,peanut_12s,seen,yes,low,controlled,no,0.6904837999900337,81,51,62
7,001,25,f,r,memory_test,305,38,sarcophagus_08s,seen,yes,low,controlled,yes,0.7955274999985704,81,51,61
7,001,25,f,r,memory_test,306,39,birthday_cake_12s,seen,yes,high,controlled,no,0.9809287999960361,82,52,62
7,001,25,f,r,memory_test,307,40,candy_cane_06s,unseen,,,,no,0.8817637999891303,85,55,61
7,001,25,f,r,memory_test,308,41,shopping_basket_05s,seen,yes,high,controlled,yes,0.680098500000895,82,52,61
7,001,25,f,r,memory_test,309,42,tab_09s,unseen,,,,yes,0.6002378999983193,85,55,62
7,001,25,f,r,memory_test,310,43,bun_07s,unseen,,,,yes,1.113373500003945,85,55,62
7,001,25,f,r,memory_test,311,44,gearshift_11n,unseen,,,,no,0.6803107000014279,85,55,61
7,001,25,f,r,memory_test,312,45,sofa_bed_13s,unseen,,,,no,0.5345464999991236,85,55,61
7,001,25,f,r,memory_test,313,46,steak_15s,unseen,,,,no,0.8765830000047572,85,55,61
7,001,25,f,r,memory_test,314,47,pomegranate_11n,seen,no,low,uncontrolled,no,0.5931130999961169,83,53,62
7,001,25,f,r,memory_test,315,48,scarecrow_09s,unseen,,,,no,0.6155508999945596,85,55,61
7,001,25,f,r,memory_test,316,49,snack_02s,unseen,,,,no,0.6863104000076419,85,55,61
7,001,25,f,r,memory_test,317,50,pin_12s,seen,yes,low,controlled,no,0.6611451000062516,81,51,62
7,001,25,f,r,memory_test,318,51,pants_11s,unseen,,,,no,0.6879958000063198,85,55,61
7,001,25,f,r,memory_test,319,52,thumbtack_15n,seen,no,high,uncontrolled,no,0.5770843000063905,84,54,62
7,001,25,f,r,memory_test,320,53,shower_cap_12s,seen,no,low,uncontrolled,yes,0.7670291000104044,83,53,61
7,001,25,f,r,memory_test,321,54,chili_11s,seen,no,low,uncontrolled,no,0.8519417999923462,83,53,62
7,001,25,f,r,memory_test,322,55,toga_04s,unseen,,,,no,0.7493206999934046,85,55,61
7,001,25,f,r,memory_test,323,56,domino_02s,unseen,,,,no,0.8520853999943938,85,55,61
7,001,25,f,r,memory_test,324,57,frisbee_04s,unseen,,,,yes,1.7888652999972692,85,55,62
7,001,25,f,r,memory_test,325,58,toast_13s,seen,yes,low,controlled,yes,1.0904671999887796,81,51,61
7,001,25,f,r,memory_test,326,59,saxophone_07s,seen,yes,low,controlled,yes,0.7333434000029229,81,51,61
7,001,25,f,r,memory_test,327,60,pan_15s,seen,no,low,uncontrolled,yes,0.6183409999939613,83,53,61
7,001,25,f,r,memory_test,328,61,skirt_02s,seen,yes,low,controlled,no,0.8515054999879794,81,51,62
7,001,25,f,r,memory_test,329,62,shears_03s,unseen,,,,no,0.6551451999985147,85,55,61
7,001,25,f,r,memory_test,330,63,barrette_09s,seen,no,low,uncontrolled,no,1.0970693999988725,83,53,62
7,001,25,f,r,memory_test,331,64,blimp_08n,unseen,,,,no,0.5565704000036931,85,55,61
7,001,25,f,r,memory_test,332,65,taffy_08s,seen,no,high,uncontrolled,yes,0.6471577000047546,84,54,61
7,001,25,f,r,memory_test,333,66,skewer_09s,unseen,,,,no,0.6906480000034207,85,55,61
7,001,25,f,r,memory_test,334,67,belt_buckle_14s,seen,no,low,uncontrolled,no,1.9037192000105279,83,53,62
7,001,25,f,r,memory_test,335,68,ramp_09s,seen,no,high,uncontrolled,no,0.44648129999404773,84,54,62
7,001,25,f,r,memory_test,336,69,costume_08s,seen,yes,high,controlled,yes,0.7394373999995878,82,52,61
7,001,25,f,r,memory_test,337,70,jumpsuit_11s,seen,yes,low,controlled,no,0.6276713999977801,81,51,62
7,001,25,f,r,memory_test,338,71,float_04s,unseen,,,,no,0.8683290000044508,85,55,61
7,001,25,f,r,memory_test,339,72,meatball_14s,seen,no,low,uncontrolled,yes,0.5681356999994023,83,53,61
7,001,25,f,r,memory_test,340,73,bowler_hat_03s,unseen,,,,no,0.6245594000065466,85,55,61
7,001,25,f,r,memory_test,341,74,sweet_potato_07s,unseen,,,,no,0.8609053999971366,85,55,61
7,001,25,f,r,memory_test,342,75,ginger_10s,unseen,,,,no,0.8556135999970138,85,55,61
7,001,25,f,r,memory_test,343,76,bowling_ball_01b,seen,no,high,uncontrolled,no,0.7369669000036083,84,54,62
