thisRow.t,notes,overall_trial_num,participant,session,age,gender,handedness,phase,calib_target,n_shapes,block_num,trial_in_block,prop_used,stimulus_logit,detection_accuracy,is_timeout,rt_choice,early_response,true_controlled,response_controlled,quest_alpha_sd,mean_evidence,sum_evidence,var_evidence,target_snippet_id,distractor_snippet_ids,quest_alpha_mean,quest_beta_mean,quest_beta_sd,quest_lambda_mean,quest_lambda_sd,control_condition,threshold_75,agency_rating,img_A_name,img_B_name,trigger_stim_onset,trigger_motion_start,trigger_resp_onset,trigger_resp_val,participant,session,age,gender,handedness,quest_prop_high,quest_high_converged,quest_prop_low,quest_low_converged,miniblock_order,starts_with,
,,1,12,001,36,m,r,calibration,0.85,2,-1,1,0.5981210736084265,0.3976423325602886,0,False,3.6596639999188483,False,dot,square,0.654092755602765,2.5937594994800914,708.0963433580649,21.716710429449126,974,[np.int64(898)],1.0815502173013654,3.313240779626975,2.078503103658157,0.026570902445533742,0.02164797948506074,,,,,,,,,,12,001,36,m,r,,,,,,,
,,2,12,001,36,m,r,calibration,0.85,2,-1,2,0.7133701336716126,0.9118086882105548,1,False,1.7439755997620523,False,dot,dot,0.6695519363887371,1.1307526323753143,360.71008972772523,2.2484571303331133,1418,[np.int64(412)],0.9575080562802529,3.28771775599253,2.0686832305155027,0.026290639852488865,0.021595043137014422,,,,,,,,,,12,001,36,m,r,,,,,,,
,,3,12,001,36,m,r,calibration,0.85,2,-1,3,0.7133701336716126,0.9118086882105548,1,False,1.202376900240779,False,dot,dot,0.6725768833887024,2.3190014291829906,435.97226868640223,8.719487928345329,1571,[np.int64(729)],0.8335128676146436,3.280685853566952,2.066663016676092,0.025985435837291466,0.02153427789748866,,,,,,,,,,12,001,36,m,r,,,,,,,
,,4,12,001,36,m,r,calibration,0.85,2,-1,4,0.6580745541515514,0.654725510385422,1,False,1.4917926001362503,False,square,square,0.6788397157248481,1.6456802846455012,401.5459894535023,8.663365813640388,1438,[np.int64(1116)],0.7084641412906613,3.2592159937993554,2.0583865740671308,0.025706154610057964,0.021475911784737248,,,,,,,,,,12,001,36,m,r,,,,,,,
,,5,12,001,36,m,r,calibration,0.85,2,-1,5,0.6580745541515514,0.654725510385422,1,False,1.3643547999672592,False,square,square,0.6746179352392956,10.47051355180269,1978.9270612907083,199.87382881212898,783,[np.int64(1522)],0.5855631466847313,3.2550784027184774,2.057619784457331,0.025403231402355248,0.02140950136580809,,,,,,,,,,12,001,36,m,r,,,,,,,
,,6,12,001,36,m,r,calibration,0.85,2,-1,6,0.6580745541515514,0.654725510385422,1,False,2.452673399820924,False,square,square,0.6618046329536754,0.6907443016187805,140.91183753023122,1.0446140813191287,126,[np.int64(536)],0.46941872954218666,3.2671350538463817,2.063925691150372,0.025079322482321722,0.02133490838778531,,,,,,,,,,12,001,36,m,r,,,,,,,
,,7,12,001,36,m,r,calibration,0.85,2,-1,7,0.5981210736084265,0.3976423325602886,0,False,1.4557672999799252,False,dot,square,0.5717843960521869,5.740992651697492,1136.7165450361033,33.18145535924356,1280,[np.int64(580)],0.7715922630004681,3.292569244194961,2.0754469336553525,0.025846614067840307,0.021499708592404587,,,,,,,,,,12,001,36,m,r,,,,,,,
,,8,12,001,36,m,r,calibration,0.85,2,-1,8,0.7629446568996856,1.1688918660356877,1,False,1.8610026999376714,False,square,square,0.5435849406111587,6.995265641549088,1482.9963160084067,75.06104499685988,320,[np.int64(1147)],0.6937404408119918,3.3432131828001372,2.096077093031869,0.025463271645310454,0.02141677066781808,,,,,,,,,,12,001,36,m,r,,,,,,,
,,9,12,001,36,m,r,calibration,0.85,2,-1,9,0.7133701336716126,0.9118086882105548,1,False,1.2186304996721447,False,dot,dot,0.5206880121981887,7.826067306496897,1721.7348074293175,115.67678543173156,1398,[np.int64(1149)],0.6146634648703979,3.385496370458367,2.1158099986485017,0.025107251043030757,0.021335236603063648,,,,,,,,,,12,001,36,m,r,,,,,,,
,,10,12,001,36,m,r,calibration,0.85,2,-1,10,0.7133701336716126,0.9118086882105548,1,False,1.4488722002133727,False,square,square,0.49797364926385346,8.13672552577838,1920.2672240836973,130.0451803390268,1284,[np.int64(236)],0.5457848757568924,3.4392283309553466,2.13957613903422,0.024739957807388205,0.021246442045321785,,,,,,,,,,12,001,36,m,r,,,,,,,
,,11,12,001,36,m,r,calibration,0.85,2,-1,11,0.7133701336716126,0.9118086882105548,1,False,1.376540099736303,False,square,square,0.4773044474246249,7.510291948914918,2155.4537893385814,161.40114693852303,1156,[np.int64(12)],nan,nan,nan,nan,nan,,,,,,,,,,12,001,36,m,r,,,,,,,
,,12,12,001,36,m,r,calibration,0.85,2,-1,12,0.6580745541515514,0.654725510385422,0,False,1.5794204003177583,False,dot,square,0.4435144697044061,9.937803810746074,1957.7473507169764,145.7635677584093,407,[np.int64(509)],nan,nan,nan,nan,nan,,,,,,,,,,12,001,36,m,r,,,,,,,
,,13,12,001,36,m,r,calibration,0.85,2,-1,13,0.7629446568996856,1.1688918660356877,0,False,1.534352700226009,False,dot,square,0.48244278407851027,3.105426394857116,934.7333448519919,55.26022597810276,1146,[np.int64(707)],nan,nan,nan,nan,nan,,,,,,,,,,12,001,36,m,r,,,,,,,
,,14,12,001,36,m,r,calibration,0.85,2,-1,14,0.7629446568996856,1.1688918660356877,1,False,1.9515455001965165,False,dot,dot,0.4611689299303448,3.127807345210349,913.319744801422,47.12760084245037,229,[np.int64(1194)],nan,nan,nan,nan,nan,,,,,,,,,,12,001,36,m,r,,,,,,,
,,15,12,001,36,m,r,calibration,0.85,2,-1,15,0.7629446568996856,1.1688918660356877,1,False,1.472958100028336,False,dot,dot,0.43863978556450073,10.58916664994365,2075.4766633889553,73.9113068877184,1247,[np.int64(127)],nan,nan,nan,nan,nan,,,,,,,,,,12,001,36,m,r,,,,,,,
,,16,12,001,36,m,r,calibration,0.85,2,-1,16,0.7629446568996856,1.1688918660356877,1,False,1.45118370000273,False,square,square,0.41650236392887935,3.0877697793509324,926.3309338052798,31.78262009507215,34,[np.int64(240)],nan,nan,nan,nan,nan,,,,,,,,,,12,001,36,m,r,,,,,,,
,,17,12,001,36,m,r,calibration,0.85,2,-1,17,0.7629446568996856,1.1688918660356877,1,False,1.320289499592036,False,square,square,0.39595617935653676,7.071648411899379,1718.410564091549,91.25016082236334,925,[np.int64(1570)],nan,nan,nan,nan,nan,,,,,,,,,,12,001,36,m,r,,,,,,,
,,18,12,001,36,m,r,calibration,0.85,2,-1,18,0.7629446568996856,1.1688918660356877,1,False,3.590958599932492,False,dot,dot,0.37773326541291397,6.992255421760133,1894.901219296996,119.62447520614141,1003,[np.int64(92)],nan,nan,nan,nan,nan,,,,,,,,,,12,001,36,m,r,,,,,,,
,,19,12,001,36,m,r,calibration,0.85,2,-1,19,0.7133701336716126,0.9118086882105548,1,False,1.1795132998377085,False,dot,dot,0.36469021720551276,4.130393221089719,954.120834071725,66.69005358767883,132,[np.int64(314)],nan,nan,nan,nan,nan,,,,,,,,,,12,001,36,m,r,,,,,,,
,,20,12,001,36,m,r,calibration,0.85,2,-1,20,0.7133701336716126,0.9118086882105548,1,False,1.2720313002355397,False,square,square,0.3531145839188992,8.663828378984444,2157.2932663671268,134.93238163812296,1218,[np.int64(1450)],0.6335930005260553,3.353820482828631,2.0800835884758606,0.02515199248081465,0.021292068366100706,,,,,,,,,,12,001,36,m,r,,,,,,,
,,21,12,001,36,m,r,calibration,0.85,2,-1,21,0.7133701336716126,0.9118086882105548,1,False,1.3066060999408364,False,square,square,0.343211072205516,7.1609900882883935,1976.4332643675966,128.30800045752855,548,[np.int64(863)],nan,nan,nan,nan,nan,,,,,,,,,,12,001,36,m,r,,,,,,,
