thisRow.t,notes,overall_trial_num,participant,session,age,gender,handedness,phase,calib_target,n_shapes,block_num,trial_in_block,prop_used,stimulus_logit,detection_accuracy,is_timeout,rt_choice,early_response,true_controlled,response_controlled,quest_alpha_sd,mean_evidence,sum_evidence,var_evidence,target_snippet_id,distractor_snippet_ids,quest_alpha_mean,quest_beta_mean,quest_beta_sd,quest_lambda_mean,quest_lambda_sd,control_condition,threshold_75,agency_rating,img_A_name,img_B_name,trigger_stim_onset,trigger_motion_start,trigger_resp_onset,trigger_resp_val,participant,session,age,gender,handedness,quest_prop_low,quest_low_converged,quest_prop_high,quest_high_converged,miniblock_order,starts_with,
,,1,13,001,26,f,r,calibration,0.55,2,0,1,0.347354013008391,-0.6306903787402434,1,False,0.7176033998839557,False,square,square,0.9585022178944526,6.069088006662918,1128.8503692393028,253.78244907085892,993,[np.int64(1317)],-0.6105307855798056,3.2449087058269095,2.055422663760532,0.0257181206205907,0.02148187862845949,,,,,,,,,,13,001,26,f,r,,,,,,,
,,2,13,001,26,f,r,calibration,0.55,2,0,2,0.347354013008391,-0.6306903787402434,1,False,1.896256999578327,False,square,square,0.9261401199953351,7.559243356390017,1383.3415342193732,126.76824417956156,1,[np.int64(1095)],-0.8088180781535858,3.249478062754128,2.0577708660113303,0.025403727978280513,0.021413000928689013,,,,,,,,,,13,001,26,f,r,,,,,,,
,,3,13,001,26,f,r,calibration,0.55,2,0,3,0.40766968306220214,-0.37360720091511007,0,False,1.1065707998350263,False,square,dot,0.8577065355739377,1.0169743733405194,226.78528525493581,35.981210227322165,902,[np.int64(287)],-0.11035630232260359,3.118646214381694,2.0043000006396867,0.02701312168069854,0.021708242636034276,,,,,,,,,,13,001,26,f,r,,,,,,,
,,4,13,001,26,f,r,calibration,0.55,2,0,4,0.40766968306220214,-0.37360720091511007,1,False,2.6796297999098897,False,dot,dot,0.8613779027784478,1.0222739865001533,215.69981115153234,22.411894887325115,1511,[np.int64(813)],-0.2820837276613023,3.0970398305438893,1.9951914598724854,0.026737030238226232,0.021660257674385473,,,,,,,,,,13,001,26,f,r,,,,,,,
,,5,13,001,26,f,r,calibration,0.55,2,0,5,0.40766968306220214,-0.37360720091511007,1,False,0.40284680016338825,False,square,square,0.8469718887361135,9.31652524744623,1732.8736960249985,184.36046599276003,1037,[np.int64(532)],-0.4511343875414702,3.09254569206971,1.9936860940191885,0.0264314378026766,0.02160405431232964,,,,,,,,,,13,001,26,f,r,,,,,,,
,,6,13,001,26,f,r,calibration,0.55,2,0,6,0.40766968306220214,-0.37360720091511007,1,False,1.461332299746573,False,dot,dot,0.8174263707940335,3.2193149907511516,997.987647132857,44.69547858354859,920,[np.int64(630)],-0.6089068308641685,3.1040770123312367,1.9993645557371673,0.026099604534929998,0.021539343788693342,,,,,,,,,,13,001,26,f,r,,,,,,,
,,7,13,001,26,f,r,calibration,0.55,2,0,7,0.40766968306220214,-0.37360720091511007,1,False,0.9409199999645352,False,square,square,0.7782142264373673,7.708943083895696,1410.7365843529124,357.16270348784036,1501,[np.int64(1578)],-0.7494526914390731,3.1297227296796852,2.0111866210133416,0.025745759440907127,0.02146611175172599,,,,,,,,,,13,001,26,f,r,,,,,,,
,,8,13,001,26,f,r,calibration,0.55,2,0,8,0.40766968306220214,-0.37360720091511007,1,False,0.7706825998611748,False,square,square,0.7354145750187804,1.09443078875989,441.0556078702357,166.41033793120369,623,[np.int64(1344)],-0.8701793220011361,3.1671485703585085,2.027782379795176,0.025374429489868296,0.021384555211471173,,,,,,,,,,13,001,26,f,r,,,,,,,
,,9,13,001,26,f,r,calibration,0.55,2,0,9,0.347354013008391,-0.6306903787402434,0,False,0.5886234999634326,False,square,dot,0.6899275390852115,6.623392270629996,1231.9509623371791,211.46679665833278,795,[np.int64(1245)],-0.4349346574739992,3.062372721080404,1.9767059236020093,0.02666737693606664,0.021632888441725277,,,,,,,,,,13,001,26,f,r,,,,,,,
,,10,13,001,26,f,r,calibration,0.55,2,0,10,0.5350820483873121,0.14055915473515587,1,False,0.5218984000384808,False,dot,dot,0.6448584486376536,12.20141777720094,2354.873630999781,209.75128291098557,126,[np.int64(1519)],-0.522892716554556,3.113507495066146,1.9986682491336396,0.026263113935945333,0.021556584289928515,,,,,,,,,,13,001,26,f,r,,,,,,,
,,11,13,001,26,f,r,calibration,0.55,2,0,11,0.47090191089840744,-0.11652402308997703,0,False,0.7425604001618922,False,dot,square,0.6565901983254235,12.126000303913415,2219.058055616155,96.0355123455477,755,[np.int64(415)],nan,nan,nan,nan,nan,,,,,,,,,,13,001,26,f,r,,,,,,,
,,12,13,001,26,f,r,calibration,0.55,2,0,12,0.5981210736084265,0.3976423325602886,0,False,0.4957543001510203,False,dot,square,0.6837647687294877,11.526865948385836,2904.7702189932306,198.66483311582655,1510,[np.int64(135)],nan,nan,nan,nan,nan,,,,,,,,,,13,001,26,f,r,,,,,,,
,,13,13,001,26,f,r,calibration,0.55,2,0,13,0.6580745541515514,0.654725510385422,1,False,1.1855938001535833,False,dot,dot,0.6559377837214331,10.180508538626471,2239.711878497824,154.10301527130227,457,[np.int64(620)],nan,nan,nan,nan,nan,,,,,,,,,,13,001,26,f,r,,,,,,,
,,14,13,001,26,f,r,calibration,0.55,2,0,14,0.5981210736084265,0.3976423325602886,1,False,0.6263256999664009,False,square,square,0.6309074378991096,17.286268742322587,3146.1009111027106,217.1335094532651,1066,[np.int64(16)],nan,nan,nan,nan,nan,,,,,,,,,,13,001,26,f,r,,,,,,,
,,15,13,001,26,f,r,calibration,0.55,2,0,15,0.5981210736084265,0.3976423325602886,1,False,1.5588138001039624,False,square,square,0.6028174451942613,15.645998887531064,2847.571797530654,217.80036282492003,201,[np.int64(1270)],nan,nan,nan,nan,nan,,,,,,,,,,13,001,26,f,r,,,,,,,
,,16,13,001,26,f,r,calibration,0.55,2,0,16,0.5981210736084265,0.3976423325602886,1,False,0.8821296999230981,False,dot,dot,0.5741654691109004,16.419671039766012,3037.639142356712,187.42708171805756,1387,[np.int64(504)],nan,nan,nan,nan,nan,,,,,,,,,,13,001,26,f,r,,,,,,,
,,17,13,001,26,f,r,calibration,0.55,2,0,17,0.5981210736084265,0.3976423325602886,1,False,0.8376842997968197,False,dot,dot,0.5468754059772081,17.64931123753069,3212.174645230585,198.94608398008327,1240,[np.int64(1230)],nan,nan,nan,nan,nan,,,,,,,,,,13,001,26,f,r,,,,,,,
,,18,13,001,26,f,r,calibration,0.55,2,0,18,0.5350820483873121,0.14055915473515587,0,False,1.41235959995538,False,dot,square,0.539860130959239,15.175684254641896,2777.150218599467,199.1748433100416,881,[np.int64(1396)],nan,nan,nan,nan,nan,,,,,,,,,,13,001,26,f,r,,,,,,,
,,19,13,001,26,f,r,calibration,0.55,2,0,19,0.5981210736084265,0.3976423325602886,1,False,0.4862824999727309,False,dot,dot,0.5181588945723925,20.762031650302184,3820.213823655602,219.64907382292213,1100,[np.int64(526)],nan,nan,nan,nan,nan,,,,,,,,,,13,001,26,f,r,,,,,,,
,,20,13,001,26,f,r,calibration,0.55,2,0,20,0.5981210736084265,0.3976423325602886,1,False,0.5227101999334991,False,square,square,0.49712263849396143,15.448862394688787,3120.670203727135,190.32295903257545,4,[np.int64(1026)],0.012152138869043835,2.7459065117326324,1.7805022186807933,0.028862751618433265,0.02187491779297262,,,,,,,,,,13,001,26,f,r,,,,,,,
,,21,13,001,26,f,r,calibration,0.55,2,0,21,0.5981210736084265,0.3976423325602886,1,False,0.569373999722302,False,square,square,0.47760793660406214,17.79693358478449,3239.0419124307773,194.53397933549158,984,[np.int64(960)],nan,nan,nan,nan,nan,,,,,,,,,,13,001,26,f,r,,,,,,,
,,22,13,001,26,f,r,calibration,0.55,2,0,22,0.5350820483873121,0.14055915473515587,1,False,1.5517746000550687,False,square,square,0.4640283020548091,13.75209530825122,2502.881346101722,226.34011799064646,78,[np.int64(1503)],nan,nan,nan,nan,nan,,,,,,,,,,13,001,26,f,r,,,,,,,
,,23,13,001,26,f,r,calibration,0.55,2,0,23,0.5350820483873121,0.14055915473515587,1,False,0.5696574999019504,False,square,square,0.45074813563311383,15.19032173249644,2764.638555314352,246.5022895622645,1191,[np.int64(290)],nan,nan,nan,nan,nan,,,,,,,,,,13,001,26,f,r,,,,,,,
,,24,13,001,26,f,r,calibration,0.55,2,0,24,0.5350820483873121,0.14055915473515587,1,False,0.9894223003648221,False,dot,dot,0.4381857014083602,15.28753553478566,2782.33146733099,185.21813921370367,89,[np.int64(547)],nan,nan,nan,nan,nan,,,,,,,,,,13,001,26,f,r,,,,,,,
,,25,13,001,26,f,r,calibration,0.55,2,0,25,0.47090191089840744,-0.11652402308997703,1,False,0.7486451999284327,False,square,square,0.4316946418819736,9.566495926307311,1741.1022585879307,468.7709777108855,1431,[np.int64(1269)],nan,nan,nan,nan,nan,,,,,,,,,,13,001,26,f,r,,,,,,,
,,26,13,001,26,f,r,calibration,0.55,2,0,26,0.47090191089840744,-0.11652402308997703,1,False,1.1439551999792457,False,dot,dot,0.4246881118389704,9.264336825273405,1686.10930219976,98.58238131344724,416,[np.int64(916)],nan,nan,nan,nan,nan,,,,,,,,,,13,001,26,f,r,,,,,,,
,,27,13,001,26,f,r,calibration,0.55,2,0,27,0.47090191089840744,-0.11652402308997703,0,False,0.6783296000212431,False,dot,square,0.39969204800217234,10.345921167964962,1882.957652569623,293.3748075269532,899,[np.int64(417)],nan,nan,nan,nan,nan,,,,,,,,,,13,001,26,f,r,,,,,,,
,,28,13,001,26,f,r,calibration,0.55,2,0,28,0.5350820483873121,0.14055915473515587,1,False,2.038909399881959,False,dot,dot,0.3888600391264421,14.946310046241848,2720.2284284160164,227.8283259243038,7,[np.int64(1217)],nan,nan,nan,nan,nan,,,,,,,,,,13,001,26,f,r,,,,,,,
,,29,13,001,26,f,r,calibration,0.55,2,0,29,0.47090191089840744,-0.11652402308997703,0,False,0.8260840000584722,False,square,dot,0.36977821986717596,10.834587274028634,1971.8948838732113,180.17283099700316,1287,[np.int64(1186)],nan,nan,nan,nan,nan,,,,,,,,,,13,001,26,f,r,,,,,,,
,,30,13,001,26,f,r,calibration,0.55,2,0,30,0.5350820483873121,0.14055915473515587,1,False,1.4200801001861691,False,square,square,0.35925894558008575,13.96210957677802,2555.0660525503777,179.932987229568,1094,[np.int64(554)],-0.07614365541240407,2.8693208221537723,1.8496552578235823,0.02824424454048532,0.021777615372933525,,,,,,,,,,13,001,26,f,r,,,,,,,
,,31,13,001,26,f,r,calibration,0.55,2,0,31,0.5350820483873121,0.14055915473515587,1,False,0.9114063000306487,False,square,square,0.3497210750117342,16.04851982132493,2920.830607481137,208.68248259425164,151,[np.int64(707)],nan,nan,nan,nan,nan,,,,,,,,,,13,001,26,f,r,,,,,,,
,,32,13,001,26,f,r,calibration,0.55,2,0,32,0.5350820483873121,0.14055915473515587,1,False,0.7599320001900196,False,square,square,0.34117865796839253,15.461484272867818,2813.9901376619428,215.3329362671676,141,[np.int64(972)],nan,nan,nan,nan,nan,,,,,,,,,,13,001,26,f,r,,,,,,,
