participant,session,age,gender,handedness,phase,overall_trial_num,trial_in_block,mem_filename,mem_ground_truth,controlled,trial_level,item_type,mem_response,mem_rt,mem_trigger_onset,mem_trigger_resp
17,001,26,f,r,memory_test,261,1,pesto_07s,seen,yes,high,controlled,yes,0.8330242000520229,51,61
17,001,26,f,r,memory_test,262,2,saffron_12s,unseen,,,,no,0.823558499570936,52,61
17,001,26,f,r,memory_test,263,3,mouse2_09s,seen,no,high,uncontrolled,no,0.7043619998730719,51,62
17,001,26,f,r,memory_test,264,4,checkers_06s,unseen,,,,no,0.7720651999115944,52,61
17,001,26,f,r,memory_test,265,5,hairbrush_08s,unseen,,,,no,0.7640843000262976,52,61
17,001,26,f,r,memory_test,266,6,tent_12s,seen,no,high,uncontrolled,no,0.7156859999522567,51,62
17,001,26,f,r,memory_test,267,7,hairnet_07s,seen,yes,low,controlled,yes,0.6990346000529826,51,61
17,001,26,f,r,memory_test,268,8,gumball_02s,unseen,,,,no,0.8732686000876129,52,61
17,001,26,f,r,memory_test,269,9,brush_04s,seen,yes,low,controlled,yes,0.7543942998163402,51,61
17,001,26,f,r,memory_test,270,10,hotdog_03s,seen,yes,low,controlled,yes,0.5543316998519003,51,61
17,001,26,f,r,memory_test,271,11,stockings_06s,seen,yes,high,controlled,yes,0.5498836003243923,51,61
17,001,26,f,r,memory_test,272,12,mixer_03s,seen,yes,low,controlled,no,2.2419829997234046,51,62
17,001,26,f,r,memory_test,273,13,marker_08s,seen,no,low,uncontrolled,yes,0.6516883997246623,51,61
17,001,26,f,r,memory_test,274,14,pants_11s,unseen,,,,no,0.6717464998364449,52,61
17,001,26,f,r,memory_test,275,15,snorkel_05s,seen,no,low,uncontrolled,no,0.7403839998878539,51,62
17,001,26,f,r,memory_test,276,16,sweater_13s,unseen,,,,no,0.8431710000149906,52,61
17,001,26,f,r,memory_test,277,17,applesauce_05s,unseen,,,,no,0.7812503003515303,52,61
17,001,26,f,r,memory_test,278,18,ravioli_15s,seen,yes,high,controlled,yes,0.6471233000047505,51,61
17,001,26,f,r,memory_test,279,19,bowling_ball_01b,seen,yes,high,controlled,no,0.6228981004096568,51,62
17,001,26,f,r,memory_test,280,20,robe_10s,unseen,,,,no,1.9158200002275407,52,61
17,001,26,f,r,memory_test,281,21,football_04s,seen,no,high,uncontrolled,yes,1.4122001002542675,51,61
17,001,26,f,r,memory_test,282,22,taco_01b,unseen,,,,no,0.6116040996275842,52,61
17,001,26,f,r,memory_test,283,23,nail_08s,seen,yes,high,controlled,yes,1.1512481002137065,51,61
