participant,control_condition,hits,misses,false_alarms,correct_rejections,d_prime
4,high,37,81,24,210,0.7762993027135667
4,low,34,82,24,210,0.7184637089962183
6,high,20,98,13,218,0.6249167511078892
6,low,18,102,13,218,0.5460477213468824
7,high,41,78,47,188,0.4404950164483131
7,low,44,75,47,188,0.5074422520756775
8,high,75,42,36,201,1.3801287856762847
8,low,74,42,36,201,1.371913768976651
9,high,75,43,19,213,1.7243377528498502
9,low,56,60,19,213,1.3378035767596095
10,high,40,77,28,206,0.7649388477299899
10,low,47,69,28,206,0.9307380963526609
12,high,78,42,109,125,0.46741161712621276
12,low,85,34,109,125,0.6461388813047542
13,high,69,43,24,214,1.5598665330463979
13,low,68,51,24,214,1.4458720429763536
14,high,50,69,20,212,1.1535195916776355
14,low,54,66,20,212,1.2286642543142468
15,high,34,82,26,208,0.6727413312594615
15,low,21,96,26,208,0.3049489373615222
16,high,44,74,40,195,0.6264107678769983
16,low,36,81,40,195,0.45004851620227254
17,high,78,38,15,220,1.9512871488182473
17,low,83,35,15,220,2.0380168619840653
19,high,28,89,7,225,1.1481510906561825
19,low,23,96,7,225,0.9929564489065749
20,high,19,99,7,227,0.8746726942650624
20,low,25,93,7,227,1.0617282992643438
21,high,70,48,34,204,1.2947896230576026
21,low,74,42,34,204,1.410762103892698
