thisRow.t,notes,overall_trial_num,participant,session,age,gender,handedness,phase,calib_target,n_shapes,block_num,trial_in_block,prop_used,stimulus_logit,detection_accuracy,is_timeout,rt_choice,early_response,true_controlled,response_controlled,quest_alpha_sd,mean_evidence,sum_evidence,var_evidence,target_snippet_id,distractor_snippet_ids,quest_alpha_mean,quest_beta_mean,quest_beta_sd,quest_lambda_mean,quest_lambda_sd,control_condition,threshold_75,agency_rating,img_A_name,img_B_name,trigger_stim_onset,trigger_motion_start,trigger_resp_onset,trigger_resp_val,participant,session,age,gender,handedness,quest_prop_low,quest_low_converged,quest_prop_high,quest_high_converged,miniblock_order,starts_with,
,,1,1,001,20,f,r,calibration,0.55,2,0,1,0.347354013008391,-0.6306903787402434,1,False,1.9161520000780001,False,dot,dot,0.9585022178944526,2.269089111980544,406.1669510445174,65.73312261616117,946,[np.int64(1373)],-0.6105307855798056,3.2449087058269095,2.055422663760532,0.0257181206205907,0.02148187862845949,,,,,,,,,,1,001,20,f,r,,,,,,,
,,2,1,001,20,f,r,calibration,0.55,2,0,2,0.347354013008391,-0.6306903787402434,1,False,0.7510067999828607,False,square,square,0.9261401199953351,4.536704438789259,821.143503420856,131.68007678963602,10,[np.int64(722)],-0.8088180781535858,3.249478062754128,2.0577708660113303,0.025403727978280513,0.021413000928689013,,,,,,,,,,1,001,20,f,r,,,,,,,
,,3,1,001,20,f,r,calibration,0.55,2,0,3,0.40766968306220214,-0.37360720091511007,0,False,1.7812012999784201,False,dot,square,0.8577065355739377,2.6640337761536057,482.19011348380263,53.975302698608814,766,[np.int64(663)],-0.11035630232260359,3.118646214381694,2.0043000006396867,0.02701312168069854,0.021708242636034276,,,,,,,,,,1,001,20,f,r,,,,,,,
,,4,1,001,20,f,r,calibration,0.55,2,0,4,0.40766968306220214,-0.37360720091511007,0,False,1.2004915999714285,False,dot,square,0.7120014164022872,4.504022690450275,815.2281069714996,125.55780690987774,238,[np.int64(923)],0.27487334930366863,3.1671149997730623,2.023744802639669,0.027632467193165727,0.021802787037637685,,,,,,,,,,1,001,20,f,r,,,,,,,
,,5,1,001,20,f,r,calibration,0.55,2,0,5,0.5981210736084265,0.3976423325602886,0,False,2.619438000023365,False,dot,square,0.6302784706902703,2.4250617724847943,438.93618081974773,35.34744709617386,1055,[np.int64(1064)],0.6707825544150523,3.112253792740494,1.9963864560344846,0.02873989261652023,0.02193632707942558,,,,,,,,,,1,001,20,f,r,,,,,,,
,,6,1,001,20,f,r,calibration,0.55,2,0,6,0.6580745541515514,0.654725510385422,1,False,1.0530582000501454,False,square,square,0.622732854026164,4.390323704160503,794.648590453051,65.51756451130457,793,[np.int64(560)],0.5620203504337069,3.1117817374814467,1.996666249532659,0.028415659196309204,0.021898450884693943,,,,,,,,,,1,001,20,f,r,,,,,,,
,,7,1,001,20,f,r,calibration,0.55,2,0,7,0.6580745541515514,0.654725510385422,1,False,0.9826491000130773,False,dot,dot,0.6078477799428001,15.114588323488734,2735.740486551461,215.4695543461708,820,[np.int64(1087)],0.4597274530678884,3.1266225895183797,2.004327904518665,0.028071157649152818,0.021854304980976194,,,,,,,,,,1,001,20,f,r,,,,,,,
,,8,1,001,20,f,r,calibration,0.55,2,0,8,0.6580745541515514,0.654725510385422,1,False,0.7618388999253511,False,square,square,0.5880907708645916,3.0327873607096687,548.93451228845,38.37299857408707,344,[np.int64(678)],0.36635581253467964,3.1551667807721375,2.0183624403326945,0.027709139879566136,0.021803577576171195,,,,,,,,,,1,001,20,f,r,,,,,,,
,,9,1,001,20,f,r,calibration,0.55,2,0,9,0.6580745541515514,0.654725510385422,1,False,0.9299522000364959,False,dot,dot,0.5660797226651764,8.640864066448195,1563.9963960271232,148.00949825388582,929,[np.int64(334)],0.28312583448131956,3.195590916864555,2.0375291026481945,0.027332485541943785,0.021746073111153102,,,,,,,,,,1,001,20,f,r,,,,,,,
,,10,1,001,20,f,r,calibration,0.55,2,0,10,0.5981210736084265,0.3976423325602886,1,False,0.8729018999729306,False,square,square,0.5518112775377407,10.489527278478283,1898.6044374045694,138.24264176204545,643,[np.int64(1043)],0.19704892201416135,3.215690643977553,2.0473118281259235,0.026987516198707477,0.021689266432710463,,,,,,,,,,1,001,20,f,r,,,,,,,
,,11,1,001,20,f,r,calibration,0.55,2,0,11,0.5981210736084265,0.3976423325602886,0,False,0.9377606000052765,False,square,dot,0.5142882109547344,4.044073516668119,731.9773065169295,76.02589222007053,675,[np.int64(1340)],nan,nan,nan,nan,nan,,,,,,,,,,1,001,20,f,r,,,,,,,
,,12,1,001,20,f,r,calibration,0.55,2,0,12,0.7133701336716126,0.9118086882105548,1,False,0.982289099949412,False,dot,dot,0.49067669395191904,6.8021599394004175,1231.1909490314756,128.41622814962884,277,[np.int64(176)],nan,nan,nan,nan,nan,,,,,,,,,,1,001,20,f,r,,,,,,,
