participant,session,age,gender,handedness,phase,overall_trial_num,trial_in_block,mem_filename,mem_ground_truth,controlled,mem_response,mem_rt,mem_trigger_onset,mem_trigger_resp
1,001,20,f,r,memory_test,263,1,spider_web_13s,unseen,,no,1.3602188000222668,52,61
1,001,20,f,r,memory_test,264,2,frisbee_11s,unseen,,no,1.665234199957922,52,61
1,001,20,f,r,memory_test,265,3,ready_meal_07s,unseen,,no,1.3731019999831915,52,61
1,001,20,f,r,memory_test,266,4,sandbox_06s,unseen,,no,1.3735259999521077,52,61
1,001,20,f,r,memory_test,267,5,handbrake_03s,unseen,,no,1.805890899966471,52,61
1,001,20,f,r,memory_test,268,6,egg_roll_06s,unseen,,yes,1.1452716999920085,52,62
1,001,20,f,r,memory_test,269,7,bean_09s,unseen,,no,1.5385588000062853,52,61
1,001,20,f,r,memory_test,270,8,bikini_09s,seen,yes,yes,1.244631899986416,51,61
1,001,20,f,r,memory_test,271,9,boot_02s,unseen,,no,1.1038535999832675,52,61
1,001,20,f,r,memory_test,272,10,doorknocker_26s,seen,no,yes,3.05923170002643,51,61
1,001,20,f,r,memory_test,273,11,toilet_02s,unseen,,no,0.786867200047709,52,61
1,001,20,f,r,memory_test,274,12,bunkbed_06s,seen,no,no,0.9156523999990895,51,62
1,001,20,f,r,memory_test,275,13,blindfold_15s,seen,yes,yes,0.8076662999810651,51,61
1,001,20,f,r,memory_test,276,14,tomato_sauce_07s,seen,yes,no,2.0641748999478295,51,62
1,001,20,f,r,memory_test,277,15,blindfold_16s,unseen,,no,0.9011097999755293,52,61
1,001,20,f,r,memory_test,278,16,trap_07s,unseen,,no,0.8266413999954239,52,61
1,001,20,f,r,memory_test,279,17,flipper_09s,unseen,,no,2.9997943999478593,52,61
1,001,20,f,r,memory_test,280,18,cauliflower_02s,seen,no,no,0.6688632000004873,51,62
1,001,20,f,r,memory_test,281,19,kazoo_07s,unseen,,no,0.7944019000278786,52,61
1,001,20,f,r,memory_test,282,20,taco_01b,unseen,,yes,0.6594207999296486,52,62
1,001,20,f,r,memory_test,283,21,quiche_14s,unseen,,no,4.262313300045207,52,61
1,001,20,f,r,memory_test,284,22,dishrag_10s,seen,no,no,1.78392580000218,51,62
