thisRow.t,notes,overall_trial_num,participant,session,age,gender,handedness,phase,calib_target,n_shapes,block_num,trial_in_block,prop_used,stimulus_logit,detection_accuracy,is_timeout,rt_choice,early_response,true_controlled,response_controlled,quest_alpha_sd,mean_evidence,sum_evidence,var_evidence,target_snippet_id,distractor_snippet_ids,quest_alpha_mean,quest_beta_mean,quest_beta_sd,quest_lambda_mean,quest_lambda_sd,control_condition,threshold_75,agency_rating,img_A_name,img_B_name,trigger_stim_onset,trigger_motion_start,trigger_resp_onset,trigger_resp_val,participant,session,age,gender,handedness,quest_prop_high,quest_high_converged,quest_prop_low,quest_low_converged,miniblock_order,starts_with,
,,1,2,001,23,f,r,calibration,0.85,2,-1,1,0.6580745541515514,0.654725510385422,1,False,1.4334324999945238,False,dot,dot,0.8033587196838967,6.796008643078629,1216.4855471110745,91.24968198810707,702,[np.int64(990)],0.8833033316116574,3.2168895046329116,2.0446371587020717,0.025760922364598603,0.021491052549208363,,,,,,,,,,2,001,23,f,r,,,,,,,
,,2,2,001,23,f,r,calibration,0.85,2,-1,2,0.6580745541515514,0.654725510385422,0,False,1.032855199999176,False,dot,square,0.6125351949307037,6.100305288581885,1104.1552572333212,112.83015279564009,258,[np.int64(540)],1.2607715311181225,3.267404241222805,2.0616890944107022,0.026370224062446997,0.02161000023761197,,,,,,,,,,2,001,23,f,r,,,,,,,
,,3,2,001,23,f,r,calibration,0.85,2,-1,3,0.7629446568996856,1.1688918660356877,1,False,1.1158339000539854,False,dot,dot,0.6284174747820036,6.104266828728672,1104.8722959998897,103.66351349200856,1012,[np.int64(527)],1.1485358949216589,3.24567304114891,2.0522566085198974,0.026078029180185036,0.021552715279757557,,,,,,,,,,2,001,23,f,r,,,,,,,
,,4,2,001,23,f,r,calibration,0.85,2,-1,4,0.7133701336716126,0.9118086882105548,1,False,1.1814691999461502,False,square,square,0.6456948738360178,16.02260882154522,2900.092196699685,207.56607949575672,1,[np.int64(1556)],1.031633141532518,3.2120890058047076,2.038568502451106,0.02581343086802934,0.021498356914454845,,,,,,,,,,2,001,23,f,r,,,,,,,
,,5,2,001,23,f,r,calibration,0.85,2,-1,5,0.7133701336716126,0.9118086882105548,0,False,1.0339860999956727,False,square,dot,0.5273297799301601,8.964825164614181,1622.6333547951667,171.29297147921878,1148,[np.int64(3)],1.323374050908287,3.250341795713057,2.052263698722532,0.026521917173125034,0.021633721707215673,,,,,,,,,,2,001,23,f,r,,,,,,,
,,6,2,001,23,f,r,calibration,0.85,2,-1,6,0.7629446568996856,1.1688918660356877,1,False,1.034298300044611,False,dot,dot,0.537126285638132,6.5003936083253056,1176.5712431068803,130.89215297797173,1573,[np.int64(818)],1.232683606514024,3.223023933421735,2.0407418156384565,0.02624024966865013,0.021580030383072487,,,,,,,,,,2,001,23,f,r,,,,,,,
,,7,2,001,23,f,r,calibration,0.85,2,-1,7,0.7629446568996856,1.1688918660356877,0,False,1.1328655000543222,False,dot,square,0.4546567511236845,8.45868264749221,1531.0215591960903,168.64746129877233,1085,[np.int64(1360)],1.4672442775754915,3.24839648653118,2.049079184113176,0.027020126290592875,0.02171641366036961,,,,,,,,,,2,001,23,f,r,,,,,,,
,,8,2,001,23,f,r,calibration,0.85,2,-1,8,0.806273406195118,1.4259750438608214,1,False,0.9955819000024348,False,dot,dot,0.4602658404312319,8.692779872368297,1573.3931568986618,200.81373641925944,894,[np.int64(1272)],1.3957338823894483,3.235091343512451,2.04262781815066,0.026712363676714652,0.021662782074951124,,,,,,,,,,2,001,23,f,r,,,,,,,
,,9,2,001,23,f,r,calibration,0.85,2,-1,9,0.806273406195118,1.4259750438608214,0,False,1.1163384000537917,False,dot,square,0.39570954124941554,8.825407818319883,1597.3988151158987,101.08312534445396,305,[np.int64(1466)],1.5983867767344229,3.226720876189514,2.0378171383195074,0.02764239405767955,0.021807335252119916,,,,,,,,,,2,001,23,f,r,,,,,,,
,,10,2,001,23,f,r,calibration,0.85,2,-1,10,0.806273406195118,1.4259750438608214,0,False,1.5460484999930486,False,square,dot,0.3345793733650495,15.020182973997489,2718.6531182935455,265.40910360621575,1275,[np.int64(513)],1.728738121586572,3.3253344350235032,2.0840260064457836,0.02825611995398728,0.021888145813726587,,,,,,,,,,2,001,23,f,r,,,,,,,
,,11,2,001,23,f,r,calibration,0.85,2,-1,11,0.843309065531368,1.683058221685953,1,False,1.0697828000411391,False,dot,dot,0.3434754058374093,8.141153424372895,1473.5487698114941,155.57165704552122,1259,[np.int64(1198)],nan,nan,nan,nan,nan,,,,,,,,,,2,001,23,f,r,,,,,,,
,,12,2,001,23,f,r,calibration,0.85,2,-1,12,0.843309065531368,1.683058221685953,0,False,1.8990307999774814,False,dot,square,0.29218546912465576,13.307696289821427,2408.6930284576783,266.36079961098056,1565,[np.int64(50)],nan,nan,nan,nan,nan,,,,,,,,,,2,001,23,f,r,,,,,,,
,,13,2,001,23,f,r,calibration,0.85,2,-1,13,0.843309065531368,1.683058221685953,1,False,0.9967885999940336,False,dot,dot,0.30270076632036813,10.001533509907697,1810.2775652932933,193.56331753308623,138,[np.int64(1405)],nan,nan,nan,nan,nan,,,,,,,,,,2,001,23,f,r,,,,,,,
,,14,2,001,23,f,r,calibration,0.85,2,-1,14,0.843309065531368,1.683058221685953,1,False,1.1971619999967515,False,dot,dot,0.31137873941683825,0.7953372925193906,143.9560499460097,11.84089813389231,353,[np.int64(308)],nan,nan,nan,nan,nan,,,,,,,,,,2,001,23,f,r,,,,,,,
,,15,2,001,23,f,r,calibration,0.85,2,-1,15,0.843309065531368,1.683058221685953,1,False,0.947903799940832,False,dot,dot,0.31802181359197984,8.885606800966398,1608.294830974918,187.6310534107163,980,[np.int64(649)],nan,nan,nan,nan,nan,,,,,,,,,,2,001,23,f,r,,,,,,,
,,16,2,001,23,f,r,calibration,0.85,2,-1,16,0.843309065531368,1.683058221685953,0,False,1.3024052999680862,False,square,dot,0.2785582237260182,6.443928953798625,1166.351140637551,107.48676609070462,1153,[np.int64(1391)],nan,nan,nan,nan,nan,,,,,,,,,,2,001,23,f,r,,,,,,,
,,17,2,001,23,f,r,calibration,0.85,2,-1,17,0.843309065531368,1.683058221685953,0,False,1.4000177000416443,False,square,dot,0.24277322566685058,5.172458445613482,936.2149786560402,83.58293600373074,1066,[np.int64(948)],nan,nan,nan,nan,nan,,,,,,,,,,2,001,23,f,r,,,,,,,
,,18,2,001,23,f,r,calibration,0.85,2,-1,18,0.8743676768795192,1.940141399511088,1,False,2.530080100055784,False,dot,dot,0.24793934528511755,10.428319007598555,1887.5257403753383,233.60735057987506,849,[np.int64(943)],nan,nan,nan,nan,nan,,,,,,,,,,2,001,23,f,r,,,,,,,
,,19,2,001,23,f,r,calibration,0.85,2,-1,19,0.8743676768795192,1.940141399511088,1,False,1.2482407999923453,False,square,square,0.25208465792054374,12.559087506868611,2273.1948387432185,209.02061982210572,762,[np.int64(330)],nan,nan,nan,nan,nan,,,,,,,,,,2,001,23,f,r,,,,,,,
,,20,2,001,23,f,r,calibration,0.85,2,-1,20,0.843309065531368,1.683058221685953,0,False,1.1715754999313504,False,dot,square,0.22312513137593096,9.871831614942899,1786.8015223046646,175.4226616171608,1162,[np.int64(1284)],1.89276499488199,3.514712604638401,2.177985590516325,0.0293859693314728,0.02198965672792872,,,,,,,,,,2,001,23,f,r,,,,,,,
,,21,2,001,23,f,r,calibration,0.85,2,-1,21,0.8743676768795192,1.940141399511088,1,False,2.1850443000439554,False,square,square,0.22724595026500827,10.974277877189515,1986.344295771302,199.94984714059837,689,[np.int64(1292)],nan,nan,nan,nan,nan,,,,,,,,,,2,001,23,f,r,,,,,,,
,,22,2,001,23,f,r,calibration,0.85,2,-1,22,0.8743676768795192,1.940141399511088,1,False,1.265428900020197,False,dot,dot,0.23047893570915842,6.4724879854442445,1171.5203253654083,158.54727075483055,1194,[np.int64(195)],nan,nan,nan,nan,nan,,,,,,,,,,2,001,23,f,r,,,,,,,
,,23,2,001,23,f,r,calibration,0.85,2,-1,23,0.8743676768795192,1.940141399511088,1,False,1.1353609999641776,False,dot,dot,0.23282073567497746,6.293658008397028,1139.152099519862,145.45459724768702,988,[np.int64(1398)],nan,nan,nan,nan,nan,,,,,,,,,,2,001,23,f,r,,,,,,,
