participant,session,age,gender,handedness,phase,overall_trial_num,trial_in_block,mem_filename,mem_ground_truth,controlled,trial_level,item_type,mem_response,mem_rt,mem_trigger_onset,mem_trigger_resp
2,001,23,f,r,memory_test,276,1,coin_03s,seen,yes,high,controlled,no,1.2862122999504209,51,62
2,001,23,f,r,memory_test,277,2,banana_03s,unseen,,,,no,2.30641389999073,52,61
2,001,23,f,r,memory_test,278,3,hairdryer_06s,seen,yes,low,controlled,yes,1.0168103999458253,51,61
2,001,23,f,r,memory_test,279,4,pepper2_07s,seen,yes,high,controlled,no,1.1547503001056612,51,62
2,001,23,f,r,memory_test,280,5,suit_06s,seen,no,high,uncontrolled,yes,1.078304700087756,51,61
2,001,23,f,r,memory_test,281,6,asparagus_04s,unseen,,,,no,1.0105819999007508,52,61
2,001,23,f,r,memory_test,282,7,domino_02s,seen,no,low,uncontrolled,yes,0.8202352999942377,51,61
2,001,23,f,r,memory_test,283,8,rattle_12s,seen,yes,high,controlled,yes,0.7689444000134245,51,61
2,001,23,f,r,memory_test,284,9,wrench_04s,unseen,,,,yes,0.7920461999019608,52,62
2,001,23,f,r,memory_test,285,10,container_04s,seen,yes,low,controlled,no,1.5916343999560922,51,62
2,001,23,f,r,memory_test,286,11,caviar_12s,unseen,,,,yes,1.0245318999513984,52,62
2,001,23,f,r,memory_test,287,12,juicer1_06s,seen,yes,high,controlled,yes,3.4030019999481738,51,61
2,001,23,f,r,memory_test,288,13,ham_10s,seen,yes,low,controlled,no,0.9756663999287412,51,62
2,001,23,f,r,memory_test,289,14,snorkel_05s,unseen,,,,no,0.8900243000825867,52,61
2,001,23,f,r,memory_test,290,15,candy_cane_07s,unseen,,,,no,1.2564181999769062,52,61
2,001,23,f,r,memory_test,291,16,olive_04s,seen,no,high,uncontrolled,no,1.1120557999238372,51,62
2,001,23,f,r,memory_test,292,17,calf1_12s,seen,no,low,uncontrolled,no,0.8461543000303209,51,62
2,001,23,f,r,memory_test,293,18,swordfish_09s,unseen,,,,no,0.91555569996126,52,61
2,001,23,f,r,memory_test,294,19,blindfold_15s,seen,no,low,uncontrolled,yes,0.7962684999220073,51,61
2,001,23,f,r,memory_test,295,20,breadstick_14s,seen,no,low,uncontrolled,yes,0.8441842999309301,51,61
2,001,23,f,r,memory_test,296,21,bean_04s,seen,no,high,uncontrolled,yes,0.71969420008827,51,61
2,001,23,f,r,memory_test,297,22,worm_06s,seen,no,high,uncontrolled,yes,0.8022882000077516,51,61
2,001,23,f,r,memory_test,298,23,dough_19s,seen,yes,high,controlled,yes,0.7800820999545977,51,61
2,001,23,f,r,memory_test,299,24,green_beans_12s,seen,yes,low,controlled,yes,0.7991438000462949,51,61
2,001,23,f,r,memory_test,300,25,juicer1_09s,unseen,,,,no,0.8338018000358716,52,61
2,001,23,f,r,memory_test,301,26,bikini_03s,unseen,,,,no,0.8728348000440747,52,61
2,001,23,f,r,memory_test,302,27,faucet_11s,unseen,,,,no,0.7878110000165179,52,61
2,001,23,f,r,memory_test,303,28,cloak_13s,unseen,,,,no,0.8252355000004172,52,61
2,001,23,f,r,memory_test,304,29,hobbyhorse_04s,seen,no,high,uncontrolled,yes,1.129460799973458,51,61
