participant,session,age,gender,handedness,phase,overall_trial_num,trial_in_block,mem_filename,mem_ground_truth,controlled,trial_level,item_type,mem_response,mem_rt,mem_trigger_onset,mem_trigger_resp
3,001,31,m,r,memory_test,241,1,tube_top_01b,unseen,,,,no,1.2654754999093711,52,61
3,001,31,m,r,memory_test,242,2,boxing_gloves_10s,unseen,,,,no,0.9823775999248028,52,61
3,001,31,m,r,memory_test,243,3,taco_05s,seen,yes,high,controlled,yes,2.028466100106016,51,61
3,001,31,m,r,memory_test,244,4,hot_tub_07s,seen,yes,low,controlled,no,1.2545435000211,51,62
3,001,31,m,r,memory_test,245,5,tomato_sauce_14s,unseen,,,,no,1.3667437999974936,52,61
3,001,31,m,r,memory_test,246,6,cookie_cutter_02s,seen,no,low,uncontrolled,no,0.8985836000647396,51,62
3,001,31,m,r,memory_test,247,7,frisbee_04s,seen,yes,high,controlled,no,0.8425307001452893,51,62
3,001,31,m,r,memory_test,248,8,sloth_03s,seen,yes,low,controlled,yes,0.819289900129661,51,61
3,001,31,m,r,memory_test,249,9,lion_15s,unseen,,,,yes,0.8273418999742717,52,62
3,001,31,m,r,memory_test,250,10,checkers_06s,unseen,,,,no,0.6642434000968933,52,61
3,001,31,m,r,memory_test,251,11,egg_roll_06s,unseen,,,,yes,0.9514125001151115,52,62
3,001,31,m,r,memory_test,252,12,polo_shirt_11s,unseen,,,,no,0.7985672999639064,52,61
3,001,31,m,r,memory_test,253,13,footprint_11s,seen,yes,high,controlled,no,0.7960472002159804,51,62
3,001,31,m,r,memory_test,254,14,nightshirt_01b,seen,no,low,uncontrolled,no,0.8297445999924093,51,62
3,001,31,m,r,memory_test,255,15,brush_04s,seen,no,high,uncontrolled,no,0.8334402998443693,51,62
3,001,31,m,r,memory_test,256,16,pet_food_04s,seen,yes,high,controlled,yes,0.8296457999385893,51,61
3,001,31,m,r,memory_test,257,17,rooster_07s,seen,no,high,uncontrolled,yes,1.0402536999899894,51,61
3,001,31,m,r,memory_test,258,18,test_tube_12s,seen,no,low,uncontrolled,yes,0.811186800012365,51,61
3,001,31,m,r,memory_test,259,19,fingerprint_02s,unseen,,,,no,1.4038004998583347,52,61
3,001,31,m,r,memory_test,260,20,crouton_07s,unseen,,,,yes,0.819364900002256,52,62
3,001,31,m,r,memory_test,261,21,snack_12s,seen,no,low,uncontrolled,yes,0.9026512000709772,51,61
3,001,31,m,r,memory_test,262,22,hot_chocolate_12s,unseen,,,,no,1.327648799866438,52,61
3,001,31,m,r,memory_test,263,23,limousine_10s,unseen,,,,no,0.8849655000958592,52,61
3,001,31,m,r,memory_test,264,24,worm_08n,unseen,,,,no,1.2657004001084715,52,61
3,001,31,m,r,memory_test,265,25,mouthpiece_01s,seen,yes,high,controlled,yes,0.7866754999849945,51,61
3,001,31,m,r,memory_test,266,26,dishrag_08s,unseen,,,,no,0.6584344999864697,52,61
3,001,31,m,r,memory_test,267,27,headband_10s,unseen,,,,no,0.8478262999560684,52,61
3,001,31,m,r,memory_test,268,28,sorbet_05s,seen,yes,low,controlled,no,0.692596800159663,51,62
3,001,31,m,r,memory_test,269,29,paint_10s,seen,no,low,uncontrolled,yes,0.7447762999217957,51,61
3,001,31,m,r,memory_test,270,30,undershirt_04s,unseen,,,,no,0.6915335999801755,52,61
3,001,31,m,r,memory_test,271,31,flipper_09s,unseen,,,,no,0.7764134998433292,52,61
3,001,31,m,r,memory_test,272,32,peanut_butter_07s,seen,yes,high,controlled,no,0.9360144000966102,51,62
3,001,31,m,r,memory_test,273,33,urinal_10s,seen,no,low,uncontrolled,no,0.6123007000423968,51,62
3,001,31,m,r,memory_test,274,34,garlic_05s,seen,no,low,uncontrolled,no,0.7443119001109153,51,62
3,001,31,m,r,memory_test,275,35,spider_web_14s,seen,yes,low,controlled,no,0.6688479001168162,51,62
3,001,31,m,r,memory_test,276,36,worm_06s,seen,no,high,uncontrolled,yes,0.555178300011903,51,61
3,001,31,m,r,memory_test,277,37,mulberry_02s,seen,yes,low,controlled,no,0.8365820001345128,51,62
