thisRow.t,notes,overall_trial_num,participant,session,age,gender,handedness,phase,calib_target,n_shapes,block_num,trial_in_block,prop_used,stimulus_logit,detection_accuracy,is_timeout,rt_choice,early_response,true_controlled,response_controlled,quest_alpha_sd,mean_evidence,sum_evidence,var_evidence,target_snippet_id,distractor_snippet_ids,quest_alpha_mean,quest_beta_mean,quest_beta_sd,quest_lambda_mean,quest_lambda_sd,control_condition,threshold_75,agency_rating,img_A_name,img_B_name,trigger_stim_onset,trigger_motion_start,trigger_resp_onset,trigger_resp_val,participant,session,age,gender,handedness,quest_prop_high,quest_high_converged,quest_prop_low,quest_low_converged,miniblock_order,starts_with,
,,1,4,001,27,m,r,calibration,0.85,2,-1,1,0.5981210736084265,0.3976423325602886,1,False,1.327048699837178,False,square,square,0.8833941500202273,3.0289925599119973,542.1896682242475,33.481828450486574,933,[np.int64(1529)],0.49887896444510554,3.2323377588830704,2.050691472501904,0.0257364756811414,0.02148582368615677,,,,,,,,,,4,001,27,m,r,,,,,,,
,,2,4,001,27,m,r,calibration,0.85,2,-1,2,0.5350820483873121,0.14055915473515587,1,False,1.5504846000112593,False,square,square,0.8974722567509856,9.148430500746224,1655.8659206350667,134.34605030335925,13,[np.int64(1256)],0.3118133766571681,3.2082444668428995,2.0424419558677074,0.025480950703595955,0.02143037331807896,,,,,,,,,,4,001,27,m,r,,,,,,,
,,3,4,001,27,m,r,calibration,0.85,2,-1,3,0.5350820483873121,0.14055915473515587,1,False,2.3475013999268413,False,square,square,0.8872830967337415,7.655250804102747,1385.6003955425972,134.98558411793127,808,[np.int64(1419)],0.12417907816641394,3.202036049568465,2.0413069970393267,0.025192955999298612,0.021365090692057793,,,,,,,,,,4,001,27,m,r,,,,,,,
,,4,4,001,27,m,r,calibration,0.85,2,-1,4,0.5350820483873121,0.14055915473515587,1,False,1.1510333998594433,False,square,square,0.8556339725168699,11.90194387372224,2154.2518411437254,166.05936740469903,1538,[np.int64(1053)],-0.05217551202368467,3.212904805647718,2.0470640208696436,0.02487584370063665,0.021289789542834836,,,,,,,,,,4,001,27,m,r,,,,,,,
,,5,4,001,27,m,r,calibration,0.85,2,-1,5,0.5981210736084265,0.3976423325602886,0,False,2.588158000027761,False,dot,square,0.8061370145930047,7.654600791993955,1385.4827433509058,174.70181818586835,1526,[np.int64(1567)],0.5851424197662809,3.046626344755488,1.97153968070472,0.026554792913001037,0.021625057742259576,,,,,,,,,,4,001,27,m,r,,,,,,,
,,6,4,001,27,m,r,calibration,0.85,2,-1,6,0.5981210736084265,0.3976423325602886,1,False,1.8834219998680055,False,dot,dot,0.8059334440408894,12.868060942908269,2329.1190306663966,193.21952928015827,1302,[np.int64(524)],0.4247819296178742,3.03383278423943,1.966905637755459,0.02626789386982201,0.02157062903585394,,,,,,,,,,4,001,27,m,r,,,,,,,
,,7,4,001,27,m,r,calibration,0.85,2,-1,7,0.5981210736084265,0.3976423325602886,1,False,1.5977170001715422,False,dot,dot,0.7884182106443354,14.884192852650953,2694.0389063298226,235.31429244766312,743,[np.int64(1463)],0.27029324994114806,3.0378680337726607,1.9700784568205592,0.025953871560228672,0.02150775817907404,,,,,,,,,,4,001,27,m,r,,,,,,,
,,8,4,001,27,m,r,calibration,0.85,2,-1,8,0.5981210736084265,0.3976423325602886,1,False,2.035527699859813,False,square,square,0.757747175248013,13.709086097345493,2481.344583619534,165.1803938590328,694,[np.int64(56)],0.1287977914170402,3.057267549613235,1.9803071148569247,0.025616336229206938,0.021436332197823114,,,,,,,,,,4,001,27,m,r,,,,,,,
,,9,4,001,27,m,r,calibration,0.85,2,-1,9,0.5981210736084265,0.3976423325602886,1,False,2.188260099850595,False,square,square,0.7197202152476004,14.819911444079068,2682.4039713783113,190.73902914807047,888,[np.int64(237)],0.004549839045660991,3.0899627803327805,1.996348837860866,0.02525952012582045,0.021356481482210275,,,,,,,,,,4,001,27,m,r,,,,,,,
,,10,4,001,27,m,r,calibration,0.85,2,-1,10,0.5981210736084265,0.3976423325602886,1,False,1.5013711999636143,False,dot,dot,0.6799997327295357,11.932584566170922,2159.797806476937,197.91754533111157,49,[np.int64(1168)],-0.10120229141758924,3.133640541961964,2.016753344480298,0.024887694885496477,0.021268504572778842,,,,,,,,,,4,001,27,m,r,,,,,,,
